login,2025-07-09 19:31:11
adauga_produs,2025-07-09 19:31:53
logout,2025-07-09 19:32:01
login,2025-07-09 19:42:56
login,2025-07-09 19:57:28
login,2025-07-09 20:01:33
login,2025-07-09 20:02:57
login,2025-07-09 20:06:53
login,2025-07-09 20:07:55
login,2025-07-09 20:08:59
login,2025-07-09 22:11:53
login,2025-07-09 22:15:18
login,2025-07-09 22:19:35
login,2025-07-09 22:22:56
login,2025-07-09 22:24:13
login,2025-07-09 22:31:04
login,2025-07-09 22:42:02
login,2025-07-09 22:52:40
login,2025-07-09 22:54:21
logout,2025-07-09 22:54:34
inregistrare,2025-07-09 22:54:53
login,2025-07-09 22:55:02
adauga_produs,2025-07-09 22:55:23
adauga_produs,2025-07-09 22:55:53
Se creeaza licitatia masina, de către utilizatorul silviu,2025-07-09 22:57:57
logout,2025-07-09 22:58:46
inregistrare,2025-07-09 23:09:55
login,2025-07-09 23:11:36
logout,2025-07-09 23:11:38
login,2025-07-09 23:11:51
logout,2025-07-09 23:11:55
login,2025-07-09 23:12:21
adauga_produs,2025-07-09 23:13:03
Se creeaza licitatia masina audi, de către utilizatorul andrei,2025-07-09 23:14:24
cauta_licitatii,2025-07-09 23:14:50
cauta_licitatii,2025-07-09 23:15:13
logout,2025-07-09 23:15:23
login,2025-07-09 23:29:31
cauta_licitatii,2025-07-09 23:30:31
logout,2025-07-09 23:30:40
login,2025-07-09 23:30:58
Se creeaza licitatia masina audi, de către utilizatorul andrei,2025-07-09 23:32:35
logout,2025-07-09 23:35:27
login,2025-07-09 23:35:51
cauta_licitatii,2025-07-09 23:36:49
A fost creata oferta pentru masina audi, cu suma 5000.0,2025-07-09 23:38:45
logout,2025-07-09 23:47:58
login,2025-07-09 23:48:49
cauta_licitatii,2025-07-09 23:49:11
logout,2025-07-09 23:49:39
login,2025-07-09 23:51:46
expediere_mesaj,2025-07-09 23:51:56
logout,2025-07-09 23:52:01
login,2025-07-09 23:52:12
citeste_mesaje_necitite,2025-07-09 23:52:17
citeste_toate_mesajele,2025-07-09 23:52:33
logout,2025-07-09 23:53:54
login,2025-07-09 23:53:59
cauta_licitatii,2025-07-09 23:54:05
A fost creata oferta pentru masina audi, cu suma 6000.0,2025-07-09 23:54:27
citeste_toate_mesajele,2025-07-09 23:54:38
Se creeaza licitatia masina audi, de către utilizatorul silviu,2025-07-09 23:57:49
logout,2025-07-09 23:57:57
login,2025-07-09 23:58:08
cauta_licitatii,2025-07-09 23:58:13
A fost creata oferta pentru masina audi, cu suma 4000.0,2025-07-09 23:58:37
logout,2025-07-10 00:01:23
login,2025-07-10 00:01:44
logout,2025-07-10 00:03:20
login,2025-07-10 00:03:25
logout,2025-07-10 00:07:55
login,2025-07-10 00:12:59
citeste_toate_mesajele,2025-07-10 00:13:05
logout,2025-07-10 00:13:50
login,2025-07-10 00:14:01
logout,2025-07-10 00:23:03
login,2025-07-10 00:25:38
citeste_toate_mesajele,2025-07-10 00:25:48
Se creeaza licitatia masina, de către utilizatorul silviu,2025-07-10 00:26:54
expediere_mesaj,2025-07-10 00:27:40
logout,2025-07-10 00:27:43
login,2025-07-10 00:27:53
citeste_mesaje_necitite,2025-07-10 00:27:58
logout,2025-07-10 00:31:15
login,2025-07-10 00:31:37
cauta_licitatii,2025-07-10 00:31:48
A fost creata oferta pentru masina, cu suma 600.0,2025-07-10 00:32:04
citeste_mesaje_necitite,2025-07-10 00:32:33
citeste_toate_mesajele,2025-07-10 00:32:38
logout,2025-07-10 00:33:42
login,2025-07-10 00:36:13
citeste_mesaje_necitite,2025-07-10 00:36:17
logout,2025-07-10 00:43:22
login,2025-07-10 00:44:01
Se creeaza licitatia BMW 2006, de către utilizatorul silviu,2025-07-10 00:44:39
logout,2025-07-10 00:45:02
login,2025-07-10 00:45:05
A fost creata oferta pentru BMW 2006, cu suma 3100.0,2025-07-10 00:46:33
logout,2025-07-10 00:47:09
login,2025-07-11 15:59:15
expediere_mesaj,2025-07-11 15:59:55
citeste_toate_mesajele,2025-07-11 16:00:07
Se creeaza licitatia masina audi, de către utilizatorul silviu,2025-07-11 16:02:02
citeste_mesaje_necitite,2025-07-11 16:08:57
citeste_toate_mesajele,2025-07-11 16:09:14
logout,2025-07-11 16:09:41
login,2025-07-11 16:09:47
citeste_mesaje_necitite,2025-07-11 16:09:54
logout,2025-07-11 16:10:36
